id,name,code,image_large,image_normal,partner,gameid,game_category_id,active,date_time,game_type,lines,game_model,maximum_win,free_spin,min_bet,max_bet,demo_link
129,Alien Hunter,F-AH01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/alien-hunter.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/alien-hunter.jpg,spadegaming,,,,,2,N/A,,N/A,"Free game, Bonus game",0.1,200,Demo link
130,Zombie Party,F-ZP01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/zombie-party.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/zombie-party.jpg,spadegaming,,,,,2,N/A,,N/A,Bonus game,0.1,200,Demo link
131,Brothers kingdom,S-GK01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/brothers-kingdom.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/brothers-kingdom.jpg,spadegaming,,,,,1,20,,x1000,Free game,2,"5,000",Demo link
132,Fiery Sevens,S-FS01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/fiery-sevens.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/fiery-sevens.jpg,spadegaming,,,,,1,5,,x25000,-,5,"5,000",Demo link
133,Golden Lotus SE,S-GL02,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/golden-lotus-se.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/golden-lotus-se.jpg,spadegaming,,,,,1,20,,x15000,Free game,2,"5,000",Demo link
134,Hugon Quest,S-HQ01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/hugon-quest.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/hugon-quest.jpg,spadegaming,,,,,1,20,,N/A,Bonus game,2,"5,000",Demo link
135,Lucky Koi,S-LK01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/lucky-koi.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/lucky-koi.jpg,spadegaming,,,,,1,20,,x100000,Bonus game,2,"5,000",Demo link
136,888,S-BA01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/888.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/888.jpg,spadegaming,,,,,1,1,,x88,-,2,"3,000",Demo link
137,ZEUS,S-ZE01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/zeus.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/zeus.jpg,spadegaming,,,,,1,25,,x4000,"Free game, Bonus game",4,"5,000",Demo link
138,5 Fortune Dragons,S-FD01,https://play.moradok88.com/uploads/images/gamelist/spadegaming/short/5-fortune-dragons.png,https://play.moradok88.com/uploads/images/gamelist/spadegaming/long/5-fortune-dragons.jpg,spadegaming,,,,,1,243,,x19500,Free game,2,"5,000",Demo link
